127.0.0.1 - - [16/May/2021:21:04:53 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [16/May/2021:21:05:01 +0530] "GET /ORS3/ HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [16/May/2021:21:05:01 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [16/May/2021:21:05:01 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:21:05:02 +0530] "GET /ORS3/images/4.jpg HTTP/1.1" 200 1264830
0:0:0:0:0:0:0:1 - - [16/May/2021:21:05:02 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:21:05:09 +0530] "GET /ORS3/Welcome_Controller HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [16/May/2021:21:05:10 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:21:05:30 +0530] "GET /ORS3/Login_Controller HTTP/1.1" 200 5270
0:0:0:0:0:0:0:1 - - [16/May/2021:21:06:49 +0530] "POST /ORS3/Login_Controller HTTP/1.1" 200 9330
0:0:0:0:0:0:0:1 - - [16/May/2021:21:07:47 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13362
0:0:0:0:0:0:0:1 - - [16/May/2021:21:08:42 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13362
0:0:0:0:0:0:0:1 - - [16/May/2021:21:10:01 +0530] "POST /ORS3/controller/User_Controller HTTP/1.1" 200 13745
0:0:0:0:0:0:0:1 - - [16/May/2021:21:10:15 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13384
0:0:0:0:0:0:0:1 - - [16/May/2021:21:10:56 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13390
0:0:0:0:0:0:0:1 - - [16/May/2021:21:11:57 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13411
0:0:0:0:0:0:0:1 - - [16/May/2021:21:12:54 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13348
0:0:0:0:0:0:0:1 - - [16/May/2021:21:13:29 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13375
0:0:0:0:0:0:0:1 - - [16/May/2021:21:14:19 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13374
0:0:0:0:0:0:0:1 - - [16/May/2021:21:14:45 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13375
0:0:0:0:0:0:0:1 - - [16/May/2021:21:15:08 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13380
0:0:0:0:0:0:0:1 - - [16/May/2021:21:15:18 +0530] "GET /ORS3/controller/Marksheet_Controller HTTP/1.1" 200 12846
0:0:0:0:0:0:0:1 - - [16/May/2021:21:15:36 +0530] "GET /ORS3/controller/User_Controller HTTP/1.1" 200 13380
